"","real_crash_date","day_period","n"
"1",2021-10-02,"afternoon",84
"2",2021-10-02,"evening",62
"3",2021-10-02,"midnight",22
"4",2021-10-02,"morning",109
"5",2021-10-02,"noon",70
"6",2021-10-03,"afternoon",53
"7",2021-10-03,"evening",70
"8",2021-10-03,"midnight",30
"9",2021-10-03,"morning",121
"10",2021-10-03,"noon",53
"11",2021-10-04,"afternoon",76
"12",2021-10-04,"evening",54
"13",2021-10-04,"midnight",11
"14",2021-10-04,"morning",93
"15",2021-10-04,"noon",53
"16",2021-10-05,"afternoon",91
"17",2021-10-05,"evening",51
"18",2021-10-05,"midnight",18
"19",2021-10-05,"morning",102
"20",2021-10-05,"noon",56
"21",2021-10-06,"afternoon",75
"22",2021-10-06,"evening",58
"23",2021-10-06,"midnight",12
"24",2021-10-06,"morning",75
"25",2021-10-06,"noon",49
"26",2021-10-07,"afternoon",113
"27",2021-10-07,"evening",65
"28",2021-10-07,"midnight",24
"29",2021-10-07,"morning",99
"30",2021-10-07,"noon",66
"31",2021-10-08,"afternoon",103
"32",2021-10-08,"evening",64
"33",2021-10-08,"midnight",27
"34",2021-10-08,"morning",89
"35",2021-10-08,"noon",76
"36",2021-10-09,"afternoon",48
"37",2021-10-09,"evening",54
"38",2021-10-09,"midnight",24
"39",2021-10-09,"morning",94
"40",2021-10-09,"noon",43
"41",2021-10-10,"afternoon",54
"42",2021-10-10,"evening",52
"43",2021-10-10,"midnight",29
"44",2021-10-10,"morning",89
"45",2021-10-10,"noon",45
"46",2021-10-11,"afternoon",75
"47",2021-10-11,"evening",70
"48",2021-10-11,"midnight",23
"49",2021-10-11,"morning",77
"50",2021-10-11,"noon",52
"51",2021-10-12,"afternoon",92
"52",2021-10-12,"evening",61
"53",2021-10-12,"midnight",20
"54",2021-10-12,"morning",86
"55",2021-10-12,"noon",61
"56",2021-10-13,"afternoon",77
"57",2021-10-13,"evening",61
"58",2021-10-13,"midnight",22
"59",2021-10-13,"morning",95
"60",2021-10-13,"noon",55
"61",2021-10-14,"afternoon",106
"62",2021-10-14,"evening",67
"63",2021-10-14,"midnight",19
"64",2021-10-14,"morning",91
"65",2021-10-14,"noon",69
"66",2021-10-15,"afternoon",106
"67",2021-10-15,"evening",85
"68",2021-10-15,"midnight",22
"69",2021-10-15,"morning",107
"70",2021-10-15,"noon",58
"71",2021-10-16,"afternoon",68
"72",2021-10-16,"evening",79
"73",2021-10-16,"midnight",29
"74",2021-10-16,"morning",103
"75",2021-10-16,"noon",60
"76",2021-10-17,"afternoon",65
"77",2021-10-17,"evening",63
"78",2021-10-17,"midnight",29
"79",2021-10-17,"morning",99
"80",2021-10-17,"noon",59
"81",2021-10-18,"afternoon",72
"82",2021-10-18,"evening",61
"83",2021-10-18,"midnight",12
"84",2021-10-18,"morning",104
"85",2021-10-18,"noon",65
"86",2021-10-19,"afternoon",83
"87",2021-10-19,"evening",58
"88",2021-10-19,"midnight",8
"89",2021-10-19,"morning",97
"90",2021-10-19,"noon",55
"91",2021-10-20,"afternoon",103
"92",2021-10-20,"evening",54
"93",2021-10-20,"midnight",24
"94",2021-10-20,"morning",108
"95",2021-10-20,"noon",68
"96",2021-10-21,"afternoon",93
"97",2021-10-21,"evening",69
"98",2021-10-21,"midnight",23
"99",2021-10-21,"morning",101
"100",2021-10-21,"noon",82
"101",2021-10-22,"afternoon",98
"102",2021-10-22,"evening",66
"103",2021-10-22,"midnight",28
"104",2021-10-22,"morning",110
"105",2021-10-22,"noon",75
"106",2021-10-23,"afternoon",49
"107",2021-10-23,"evening",62
"108",2021-10-23,"midnight",29
"109",2021-10-23,"morning",120
"110",2021-10-23,"noon",49
"111",2021-10-24,"afternoon",44
"112",2021-10-24,"evening",48
"113",2021-10-24,"midnight",11
"114",2021-10-24,"morning",81
"115",2021-10-24,"noon",50
"116",2021-10-25,"afternoon",63
"117",2021-10-25,"evening",57
"118",2021-10-25,"midnight",19
"119",2021-10-25,"morning",126
"120",2021-10-25,"noon",60
"121",2021-10-26,"afternoon",53
"122",2021-10-26,"evening",66
"123",2021-10-26,"midnight",24
"124",2021-10-26,"morning",119
"125",2021-10-26,"noon",54
"126",2021-10-27,"afternoon",84
"127",2021-10-27,"evening",72
"128",2021-10-27,"midnight",18
"129",2021-10-27,"morning",97
"130",2021-10-27,"noon",50
"131",2021-10-28,"afternoon",82
"132",2021-10-28,"evening",59
"133",2021-10-28,"midnight",25
"134",2021-10-28,"morning",102
"135",2021-10-28,"noon",71
"136",2021-10-29,"afternoon",70
"137",2021-10-29,"evening",79
"138",2021-10-29,"midnight",34
"139",2021-10-29,"morning",100
"140",2021-10-29,"noon",66
"141",2021-10-30,"afternoon",51
"142",2021-10-30,"evening",70
"143",2021-10-30,"midnight",32
"144",2021-10-30,"morning",138
"145",2021-10-30,"noon",53
"146",2021-10-31,"afternoon",61
"147",2021-10-31,"evening",62
"148",2021-10-31,"midnight",26
"149",2021-10-31,"morning",156
"150",2021-10-31,"noon",54
"151",2021-11-01,"afternoon",69
"152",2021-11-01,"evening",62
"153",2021-11-01,"midnight",15
"154",2021-11-01,"morning",119
"155",2021-11-01,"noon",56
"156",2021-11-02,"afternoon",57
"157",2021-11-02,"evening",55
"158",2021-11-02,"midnight",18
"159",2021-11-02,"morning",76
"160",2021-11-02,"noon",63
"161",2021-11-03,"afternoon",85
"162",2021-11-03,"evening",65
"163",2021-11-03,"midnight",11
"164",2021-11-03,"morning",80
"165",2021-11-03,"noon",73
"166",2021-11-04,"afternoon",61
"167",2021-11-04,"evening",69
"168",2021-11-04,"midnight",18
"169",2021-11-04,"morning",92
"170",2021-11-04,"noon",64
"171",2021-11-05,"afternoon",93
"172",2021-11-05,"evening",79
"173",2021-11-05,"midnight",27
"174",2021-11-05,"morning",94
"175",2021-11-05,"noon",75
"176",2021-11-06,"afternoon",68
"177",2021-11-06,"evening",71
"178",2021-11-06,"midnight",27
"179",2021-11-06,"morning",100
"180",2021-11-06,"noon",51
"181",2021-11-07,"afternoon",60
"182",2021-11-07,"evening",38
"183",2021-11-07,"midnight",7
"184",2021-11-07,"morning",107
"185",2021-11-07,"noon",39
"186",2021-11-08,"afternoon",87
"187",2021-11-08,"evening",61
"188",2021-11-08,"midnight",12
"189",2021-11-08,"morning",97
"190",2021-11-08,"noon",51
"191",2021-11-09,"afternoon",91
"192",2021-11-09,"evening",60
"193",2021-11-09,"midnight",14
"194",2021-11-09,"morning",88
"195",2021-11-09,"noon",57
"196",2021-11-10,"afternoon",93
"197",2021-11-10,"evening",60
"198",2021-11-10,"midnight",13
"199",2021-11-10,"morning",90
"200",2021-11-10,"noon",58
"201",2021-11-11,"afternoon",67
"202",2021-11-11,"evening",47
"203",2021-11-11,"midnight",22
"204",2021-11-11,"morning",81
"205",2021-11-11,"noon",45
"206",2021-11-12,"afternoon",79
"207",2021-11-12,"evening",44
"208",2021-11-12,"midnight",22
"209",2021-11-12,"morning",103
"210",2021-11-12,"noon",69
"211",2021-11-13,"afternoon",79
"212",2021-11-13,"evening",53
"213",2021-11-13,"midnight",23
"214",2021-11-13,"morning",98
"215",2021-11-13,"noon",41
"216",2021-11-14,"afternoon",39
"217",2021-11-14,"evening",57
"218",2021-11-14,"midnight",22
"219",2021-11-14,"morning",87
"220",2021-11-14,"noon",33
"221",2021-11-15,"afternoon",79
"222",2021-11-15,"evening",53
"223",2021-11-15,"midnight",17
"224",2021-11-15,"morning",83
"225",2021-11-15,"noon",52
